"","rbd","media_mate","median_mate","media_leng","median_leng","porc_fem","nom_rbd","latitud","longitud","cod_com_rbd","nom_com_rbd","pago_matricula"
"370",9911,263.592338958344,263.820007324219,235.950556225247,240.099998474121,74.4444444444444,"COLEGIO DE LA PROVIDENCIA C.LARRAIN DE I",-33.51558254,-70.76593938,13119,"MAIPÚ","$1.000 A $10.000"
"371",9912,282.607499440511,282.620010375977,281.738236819997,288.400009155273,100,"COLEGIO PART. ASCENSION NICOL",-33.46874522,-70.69900695,13106,"ESTACIÓN CENTRAL","GRATUITO"
"372",9917,246.931553479307,243.279998779297,228.258113165322,226.949996948242,59.7883597883598,"COLEGIO POLIVALENTE PATRICIO MEKIS",-33.51055005,-70.77584284,13119,"MAIPÚ","GRATUITO"
"373",9919,305.706969290069,307.760009765625,283.665756225586,293.630004882812,100,"COLEGIO PARTICULAR MATER DEI",-33.50068912,-70.71193514,13102,"CERRILLOS","GRATUITO"
"374",9923,218.46054465554,217.270004272461,192.872456333093,189.720001220703,13.1868131868132,"ESCUELA INDUSTRIAL PARTICULAR CERRILLOS",-33.49760921,-70.71795221,13102,"CERRILLOS","$1.000 A $10.000"
"375",9924,338.111447986804,336.369995117188,277.652986006303,281.899993896484,60.4938271604938,"COLEGIO ALBERTO PEREZ",-33.49969075,-70.75924528,13119,"MAIPÚ","$1.000 A $10.000"
"376",9926,270.699189882021,273.320007324219,253.100811932538,257.670013427734,71.7948717948718,"COLEGIO SOFIA INFANTE HURTADO",-33.52551515,-70.75779307,13119,"MAIPÚ","GRATUITO"
"377",9930,237.443638194691,241.910003662109,216.768233804142,213.75,38.4615384615385,"ESCUELA PARTICULAR JOSE ANTONIO LECAROS",-33.46399697,-70.69880676,13106,"ESTACIÓN CENTRAL","GRATUITO"
"378",9937,325.049062728882,324.729995727539,292.998750686646,295.505004882812,100,"LICEO MATER PURISSIMA",-33.50517905,-70.74711759,13119,"MAIPÚ","GRATUITO"
"379",9940,285.582905436671,280.19499206543,266.342531135283,266.869995117188,64.4444444444444,"ESCUELA LICEO MADRE VICENCIA",-33.46230697,-70.70896453,13106,"ESTACIÓN CENTRAL","$1.000 A $10.000"
"380",9942,218.464288257417,206.360000610352,215.373460036058,211.070007324219,48.3870967741936,"ESCUELA, COLEGIO POLITEC.H.DE MAGALLANES",-33.46914869,-70.71244689,13106,"ESTACIÓN CENTRAL","GRATUITO"
"381",9945,202.667223612467,200.219993591309,216.558042111604,212.550003051758,43.75,"COLEGIO ELLEN COLLEGE",-33.50405544,-70.7671735,13119,"MAIPÚ","GRATUITO"
"382",9947,300.310562133789,309.540008544922,268.727041672687,270.774993896484,0,"COLEGIO INDUSTRIAL PART. DON ORIONE",-33.50360544,-70.71201881,13102,"CERRILLOS","GRATUITO"
"383",9950,263.521666463216,257.505004882812,243.240937709808,243.095001220703,51.2820512820513,"COLEGIO EL REDENTOR",-33.50309318,-70.76417605,13119,"MAIPÚ","GRATUITO"
"384",9955,263.547931539601,267.239990234375,219.947096301663,228.039993286133,48.7179487179487,"COLEGIO ROSITA SANCHEZ",-33.52667979,-70.77176413,13119,"MAIPÚ","GRATUITO"
"385",9957,258.782135676412,266.434997558594,233.097281372663,235.604995727539,6.50406504065041,"LICEO INDUSTRIAL ALBERTO WIDMER",-33.50971455,-70.76739117,13119,"MAIPÚ","$1.000 A $10.000"
"386",9959,253.601764454561,251.869995117188,242.35398695204,243.820007324219,53.3333333333333,"COMPLEJO EDUCACIONAL MAIPU",-33.5172332,-70.77519763,13119,"MAIPÚ","GRATUITO"
"387",9960,252.751287644909,260.309997558594,276.062812805176,268.100006103516,46.875,"ESCUELA PARTICULAR VILLA ESPANA",-33.46203451,-70.69947367,13106,"ESTACIÓN CENTRAL","GRATUITO"
"388",9967,360.166785648891,358.634994506836,301.418928146362,307.910003662109,82.258064516129,"ESCUELA PARTICULAR RUBEN DARIO",-33.51861359,-70.75718188,13119,"MAIPÚ","$1.000 A $10.000"
"389",9970,292.263101511988,296.519989013672,251.617692800669,252.015007019043,41.9354838709677,"COLEGIO SAN LEONARDO",-33.50017,-70.75676,13119,"MAIPÚ","MAS DE $100.000"
"390",9972,263.977419453282,257.279998779297,243.559284210205,249.134994506836,59.4594594594595,"ESC. BASICA PARTIC.SAINT MAURICES",-33.5023516,-70.72849209,13102,"CERRILLOS","$1.000 A $10.000"
